stove_details_name,details_manu,details_web,stove_desc,details_tiers_eff_num,details_tiers_safe_num,details_tiers_co_num,details_tiers_pm_num,details_tiers_dur_num,details_tiers_iwa_ie_num,stove_life,pot_rec,pot_cap,stove_feed,stove_food_common,stove_price,stove_dimensions,stove_weight,stove_dimensions,stove_assembly_materials,iso_co_val,iso_co_sd,iso_co_num,iso_co_date,iso_co_fuel,iso_pm_val,iso_pm_sd,iso_pm_num,iso_pm_date,iso_pm_fuel,iso_eff_char_val,iso_eff_char_sd,iso_eff_char_num,iso_eff_char_date,iso_eff_char_fuel,iso_eff_val,iso_eff_sd,iso_eff_num,iso_eff_date,iso_eff_fuel,iso_safe_val,iso_safe_sd,iso_safe_num,iso_safe_date,iso_safe_fuel,iso_dur_val,iso_dur_sd,iso_dur_num,iso_dur_date,iso_dur_fuel,iwa_co_val,iwa_co_sd,iwa_co_num,iwa_co_date,hp_co_fuel,iwa_pm_val,iwa_pm_sd,iwa_pm_num,iwa_pm_date,hp_pm_fuel,iwa_co_low_val,iwa_co_low_sd,iwa_co_low_num,iwa_co_low_date,lp_co_fuel,iwa_pm_low_val,iwa_pm_low_sd,iwa_pm_low_num,iwa_pm_low_date,lp_pm_fuel,iwa_eff_val,iwa_eff_sd,iwa_eff_num,iwa_eff_date,hp_eff_fuel,iwa_eff_val,iwa_eff_sd,iwa_eff_num,iwa_eff_date,hp_eff_fuel
SCODE Push-n-Pull stove,Sustainable Community Development Services (SCODE),http://www.scode.co.ke,"A natural draft micro gasifier stove with turboprop technology that burns any kind of biomass efficiently with little smoke. With self propulsion capability resulting in a powerful draft, it can utilize all fuels fed from the side including charcoal, pellets, briquettes, etc.",Not Available,Not Available,Not Available,Not Available,Not Available,,6,Both,30,1.0-60.0,"Those to be boiled, fried, and baked",35.0-50.0,350.0/300.0/400.0,16,350.0/300.0/400.0,"G16- SS metal sheet, G18-MS metal sheet, fiber glass, flat-bar metal strips",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Parabolic Solar Cooker 1.10m,Energía Libre,http://www.cocinasolar.net/,Parabolic Solar Cooker 1.1m of diameter,Not Available,Not Available,Not Available,Not Available,Not Available,,15,Both,15,5.0-12.0,"beans, meat, corn, potatoes",200.0-250.0,1200.0/1200.0/1000.0,7,1200.0/1200.0/1000.0,"aluminum or iron structure, high reflective aluminum material",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Ecochulla Pro2,Sanjay Techno Plast Pvt Ltd,http://www.ecosense.asia/,Biomass-fueled stove with a capacity of 5 kg per cycle. It is portable and easy-to-use. There is a 6 V battery. The stove has a capacity of up to 150 kg and a burn time of up to 120 minutes per cycle. There is a cement chamber to increase lifespan.,Not Available,Not Available,Not Available,Not Available,Not Available,,5,Both,150,45.0-50.0,All Indian Food,nan-164.46,350.0/350.0/650.0,38,350.0/350.0/650.0,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
FabStove,Ekasi Energy,http://www.ekasi.energy,The FabStove is a forced biomass gasifier stove with a unique removable gasifier. It uses compressed biomass pellets or hard wood chunks as fuel.,Not Available,Not Available,Not Available,Not Available,Not Available,,5,Both,6,1.0-5.0,"Boiling, Stewing, Frying",60.0-80.0,280.0/280.0/320.0,4.8,280.0/280.0/320.0,Stove Kit,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
SLiCK SM70,SLiCK Solar Stove,http://www.slicksolarstove.com/,"Portable, parabolic trough, vacuum tube solar cooker. Optimised for UK use at 50N Latitude, the SLiCK SM70 can be used all year round for baking, roasting and steaming. Designed for simplicity and mobility, the SM70 deploys in seconds, captures sunshine whilst retaining heat during cloudy spells and into the evening. The vacuum tube is basically a thermos flask and it's possible to use the stove for liquid heating purposes. SLiCK stands for Seriously Low Impact Cooking & Kitchen and provides clean cookstoves options for zero emission and zero waste in cooking.",Not Available,Not Available,Not Available,Not Available,Not Available,,5,Other pot type,1.5,2.0-3.0,"Vegetables, meats, pulses",nan,740.0/150.0/420.0,7,740.0/150.0/420.0,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Ecochulla Pro 3,Sanjay Techno Plast Pvt Ltd,http://www.ecosense.asia/,Biomass-fueled stove with a capacity of 10 kg per cycle. It is portable and easy-to-use. There is a 6 V battery. The stove has a capacity of up to 100 kg and a burn time of up to 120 minutes per cycle. There is a cement chamber to increase lifespan.,Not Available,Not Available,Not Available,Not Available,Not Available,,5,Both,200,100.0-150.0,All Indian Food,nan-328.92,450.0/450.0/650.0,35,450.0/450.0/650.0,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Beijing,,,"Improved chimney stove without grate- Beijing, China",Not Available,Not Available,Not Available,Not Available,Not Available,,,,,nan,,nan,,,,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Burkina Mixte,Locally manufactured,nan,Portable metal household stove for one pot with fixed diameter. Supported by Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ).,Not Available,Not Available,Not Available,Not Available,Not Available,,2,,,nan,,nan,nan/290.0/325.0,,nan/290.0/325.0,At least 1 mm thick metal sheet either from scrap or new material,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Improved Cookstove (ICS),Locally manufactured,nan,"Developed through a partnership between SNV Netherlands Development Organisation, Oxfam NOVIB, Blue Moon Fund, and ARMI to revitalize the efficient cook stove market in Laos.",Not Available,Not Available,Not Available,Not Available,Not Available,,,Both,,nan,,4.25-5.0,,,,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
GloW yaRoketi,GloW efficiency off-grid GmbH,http://en.glow-energy.de/,The GloW yaRoketi is a rocket stove. Different add-ons are available to meet different needs for cooking. The Stove is made out of high quality stainless steel and comes as an assembly set. Local material (e.g. clay) can be used for heat insulation.,Not Available,Not Available,Not Available,Not Available,Not Available,,5,Both,25,1.0-10.0,"beans, potatoes, rice, noodles, matooke (plantain), yams...",35.0-90.0,300.0/300.0/325.0,3.6,300.0/300.0/325.0,"Recommended: Hammer, pliers, slotted screw driver. For Job-safety gloves",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Luxor Stove,BriteLyt Inc,http://www.britelyt.com/,"Our new 2015 stoves and lanterns burn alcohol-based fuels only. They can be used for lighting, heating, and cooking.",Not Available,Not Available,Not Available,Not Available,Not Available,,,Both,4,1.0-5.0,Anything in a pot or flat pan,50.0-60.0,8.0/8.0/12.0,,8.0/8.0/12.0,Small hand tools,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Shandong,,,"Improved stove with grate- Shandong, China",Not Available,Not Available,Not Available,Not Available,Not Available,,,,,nan,,nan,,,,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
CooKit,Solar Cookers International,http://solarcookers.org/,"The CooKit panel solar cooker is lightweight and compact. Made of cardboard and aluminum foil, simply unfold and clip in place to use. The CooKit was developed for wide use in refugee camps in 1995. The standard-size CooKit holds one black, covered pot. Cooking temperature range is 180-240 degrees F (82-116 degrees C). It folds flat to 13 by 13"" square by 2"" thick (33 x 33 x 5 cm). Should include clothespins for clipping",Not Available,Not Available,Not Available,Not Available,Not Available,,2,Flat bottom,3,1.0-6.0,"Rice, vegetables, fruits, meats, grains, potatoes, legumes, eggs, bread, soup, stew",3.0-40.0,330.0/330.0/50.0,0.73,330.0/330.0/50.0,"cardboard, foil, adhesive",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Enki Stove Wild,Enki Stove srl,http://www.enkistove.com/en/,The Enki Stove Wild is a camp stove that uses biomass fuels.,Not Available,Not Available,Not Available,Not Available,Not Available,,20,Both,10,2.0-8.0,"grilled meat, grilled fish, boiled rice, pasta",60.0-250.0,22.0/22.0/57.0,3.5,22.0/22.0/57.0,"screwdriver, tongs",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Multi-Purpose (Scode Kuni Mbili) Stove,Sustainable Community Development Services (SCODE),http://www.scode.co.ke,"The Multi-purpose Stove (Kuni-Mbili) is a highly efficient fire-wood burning stove which is adaptable to using charcoal. It combines the characteristics of a charcoal burning stove (KCJ) and a firewood burning stove. The stove is easy to use and maintain, uses both charcoal and firewood and has a 6 months warranty",Not Available,Not Available,Not Available,Not Available,Not Available,,5,Both,15,1.0-6.0,All,12.5-15.0,,,,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
GloW yaMbao,GloW efficiency off-grid GmbH,http://en.glow-energy.de/,"Gasifier stove made out of stainless steel and consisting of a charcoal unit and a gasifier top part. The two parts are fixed with box locks. It can use a wide range of fuels - every dry, chunky biomass. The produced charcoal can be used directly in the charcoal unit after the gasification. Therefore the gasifier top part has to be removed. Two charcoal units can be combined with one gasifier top part. Different add-ons are available to meet different needs for cooking.",Not Available,Not Available,Not Available,Not Available,Not Available,,5,Both,25,1.0-10.0,"beans, potatoes, rice, noodles, BBQ, matooke (plantain), yams...",40.0-100.0,300.0/300.0/450.0,4.3,300.0/300.0/450.0,"Recommended: Hammer, pliers, slotted screw driver. For Job-safety gloves",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Apostol Rocket 2016,Bristol Rocket Co.,http://www.bristolrocket.com/,"Bristol Rocket Co. designs, manufactures, and retails engaging products that enhance outdoor living and have low environmental impact. The Apostol Rocket 2016 is the latest release from the Bristol Rocket Co. The design, which has been developed over many years, is based on the simple philosophy of 'Form Follows Function'. The angled firebox works as a gravity feed to the heart of the combustion chamber, the air shelf enables oxygen to get to the fire, and the low centre of gravity gives the stove a sturdy base.",Not Available,Not Available,Not Available,Not Available,Not Available,,10,Both,5,1.0-5.0,Any,190.0-226.0,380.0/380.0/534.0,9.3,380.0/380.0/534.0,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Prime Cylindrical,Prime Cookstoves,http://www.primestoves.com/,"The Prime Cylindrical Biomass Cookstove has both primary and secondary air regulation mechanisms, improving combustion efficiency and facilitating flame management.",Not Available,Not Available,Not Available,Not Available,Not Available,,2,Flat bottom,,nan,,30.0-30.0,245.0/245.0/360.0,3.5,245.0/245.0/360.0,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Ngufu Stove,Geni Green Solutions (GGS) Ltd.,https://genigreensolutions.com/,"The Ngufu Stove is a charcoal stove made from metal and clay that includes stands, skirt and wood handles.",Not Available,Not Available,Not Available,Not Available,Not Available,,4,Both,15,5.0-15.0,"Beans, maize, banana, vegetables",20.0-25.0,320.0/nan/301.0,10,320.0/nan/301.0,"Metal, clay, and insulation",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Graminheet Natural Draft Biomass Cook Stove,Green Vitality Solution Industries,nan,"The Graminheet Natural Draft Biomass Stove (model KEP31NP) is a metallic, single pot, household-size stove.",Not Available,Not Available,Not Available,Not Available,Not Available,,7,Round bottom,22,5.0-8.0,,13.0-17.0,267.0/267.0/257.0,9.5,267.0/267.0/257.0,Simple hand tools,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
GloW yaGesi,GloW efficiency off-grid GmbH,http://en.glow-energy.de/,"The GloW yaGesi is a gasifier stove. It can use a wide range of fuels - every dry, chunky biomass. The Stove is made out of high quality stainless steel and comes as assembly set. Local material (e.g. clay) can be used for heat insulation. Different add-ons are available to meet different needs for cooking.",Not Available,Not Available,Not Available,Not Available,Not Available,,5,Both,25,1.0-10.0,"beans, potatoes, rice, noodles, BBQ, matooke (plantain), yams...",35.0-90.0,300.0/300.0/405.0,3.7,300.0/300.0/405.0,"Recommended: Hammer, pliers, slotted screw driver. For Job-safety gloves",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Salama Stove,Rokim Group Limited,http://www.rokimgroup.co.ke/,"The Salama stove is locally fabricated in Nairobi by local stove experts. All the materials and parts are sourced from Nairobi and its surrounding. The stove body is made out of galvanized and stainless steel. The combustion chamber is insulated using pumice and fired ceramic clay. The Salama stove is tailored to save energy, reduce indoor air pollution, minimize burns among children and users, and externally warm water for household use.",Not Available,Not Available,Not Available,Not Available,Not Available,,10,Flat bottom,9,3.0-12.0,"Ugali, Githeri, Vegetables, Rice, Porridge",65.0-80.0,445.0/445.0/410.0,50,445.0/445.0/410.0,"Stainless and Galvanized Steel, Pumice and Ceramic",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Gordon Rocket Stove,Gordon Rocket Company,http://www.gordonrocketcompany.com/,"High efficiency, rocket charged, three-way cooking unit. Bake, Boil and BBQ at the same time. See: GRC STUDIO ONE https://youtu.be/UiHGmcwID9E",Not Available,Not Available,Not Available,Not Available,Not Available,,50,Flat bottom,4,1.0-20.0,Bread and roasts in oven. Boiled or pressure cooked or fry on main burner. Barbecue on Grill top.,300.0-500.0,430.0/254.0/650.0,18,430.0/254.0/650.0,150mm by 75mm Steel or Aluminum Tube 5mm wall - 1965mm total length with 90º and 45º cuts LEG - 5mm x 50mm Strap - 1140mm total PLATES - 6mm x 70 - 200mm total,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Red Fire Pot (RFP),Locally manufactured,nan,"The Red Fire Pot was developed by GIZ/EnDev for the local conditions in Liberia. It is produced by local stove producers. The material used is 1.5 mm metal sheet. It consists of an inner cylinder and an outer cylinder. A primary air supply and a secondary air supply, with air heated between the two cylinders, are used to make the cooking process more efficient. Several Regional Water Boiling tests have proven that the Red Fire Pot fulfills the EnDev criteria and saves charcoal compared to traditional Liberian coalpots.",Not Available,Not Available,Not Available,Not Available,Not Available,,1,Both,10,7.0-15.0,Rice and Traditional Liberian soup,15.0-17.0,400.0/400.0/300.0,4.42,400.0/400.0/300.0,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Scode KCJ,Sustainable Community Development Services (SCODE),http://www.scode.co.ke,"KCJ Stove is a charcoal-burning stove specially designed to reduce charcoal consumption, carbon monoxide emission and last longer. It is made by trained artisans from high quality materials which enhance efficiency and durability. The stove is Easy to light, safe, easy to use and maintain and has a 6 months warranty.",Not Available,Not Available,Not Available,Not Available,Not Available,,4,Both,10,1.0-6.0,,12.5-15.0,,,,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
Ludeé,"Global Transporte Industria Servicio, S.A. de C.V.",http://global-tis.com/,Estufa fabricada en lamina galvanizada con aislantes térmicos y una base soporte para dejarla a una altura ergonómica. This stove is made of galvanized steel with thermal insulation and a support base for an ergonomic height.,Not Available,Not Available,Not Available,Not Available,Not Available,,5,Round bottom,20,1.0-6.0,"arroz, frijol, maíz, tortillas, etc.",nan,800.0/500.0/240.0,50,800.0/500.0/240.0,un piso nivelado; a level floor,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
GAMA 1610,"Gamadaric, Lda",nan,"GAMA 1610 is a portable wood cookstove very simple to use and easy to transport with small dimensions. Our intent was create a product that meets to the culinary habits of the regions where firewood is used for cooking. In order to improve the living conditions of women and young children, who are most affected by inhalation of toxic fumes by the open fires or traditional cookstoves.",Not Available,Not Available,Not Available,Not Available,Not Available,,6,Both,5,nan,,nan,260.0/248.0/280.0,5,260.0/248.0/280.0,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
